,emotion
441,Female_sad
478,Female_surprised
1084,male_calm
153,male_angry
542,Female_neutral
1092,male_happy
18,male_happy
1375,male_surprised
818,Female_fearful
257,male_happy
140,male_sad
1214,male_happy
1317,Female_surprised
781,Female_neutral
822,Female_fearful
1106,male_sad
1420,Female_fearful
333,Female_angry
710,Female_disgust
1351,male_angry
745,male_sad
327,Female_sad
1299,Female_fearful
1036,Female_happy
1196,Female_surprised
1379,male_surprised
1096,male_happy
651,male_disgust
443,Female_sad
1049,Female_angry
496,male_happy
206,Female_sad
1176,Female_fearful
835,Female_surprised
290,male_disgust
815,Female_angry
240,male_neutral
1009,male_disgust
1080,male_neutral
1403,Female_sad
867,male_sad
554,Female_happy
1175,Female_angry
120,male_neutral
730,male_calm
1287,Female_sad
1392,Female_happy
804,Female_sad
565,Female_sad
1439,Female_surprised
15,male_happy
274,male_angry
1409,Female_angry
283,male_fearful
814,Female_angry
808,Female_angry
1159,Female_happy
1140,Female_neutral
42,male_fearful
191,Female_calm
210,Female_angry
201,Female_sad
886,male_disgust
703,Female_fearful
1139,male_surprised
444,Female_sad
1288,Female_angry
925,Female_sad
510,male_angry
230,Female_disgust
500,male_sad
691,Female_angry
141,male_sad
519,male_fearful
535,male_surprised
671,Female_calm
960,male_neutral
1200,male_neutral
417,male_surprised
645,male_disgust
1326,male_calm
536,male_surprised
1381,Female_neutral
603,male_neutral
1068,Female_disgust
171,male_disgust
355,Female_surprised
483,male_neutral
494,male_happy
1181,Female_fearful
234,Female_surprised
1230,male_angry
953,Female_surprised
40,male_fearful
414,male_surprised
855,male_happy
696,Female_fearful
204,Female_sad
698,Female_fearful
231,Female_disgust
712,Female_surprised
447,Female_sad
37,male_fearful
1156,Female_happy
114,Female_surprised
945,Female_disgust
1158,Female_happy
1272,Female_happy
13,male_happy
1418,Female_fearful
440,Female_sad
335,Female_angry
1347,male_sad
1058,Female_fearful
1045,Female_sad
553,Female_happy
833,Female_surprised
1076,Female_surprised
709,Female_disgust
336,Female_fearful
1305,Female_disgust
1391,Female_calm
213,Female_angry
1297,Female_fearful
683,Female_sad
863,male_sad
800,Female_sad
501,male_sad
104,Female_disgust
711,Female_disgust
557,Female_happy
732,male_happy
1177,Female_fearful
847,male_calm
1091,male_calm
322,Female_sad
1060,Female_fearful
761,male_fearful
969,male_calm
627,male_sad
1396,Female_happy
432,Female_happy
95,Female_angry
430,Female_calm
1053,Female_angry
66,Female_calm
149,male_angry
570,Female_angry
520,male_fearful
522,male_fearful
446,Female_sad
720,male_neutral
581,Female_fearful
517,male_fearful
271,male_angry
1083,male_neutral
306,Female_calm
105,Female_disgust
1383,Female_neutral
340,Female_fearful
297,male_surprised
1066,Female_disgust
136,male_happy
1355,male_angry
253,male_happy
764,male_disgust
959,Female_surprised
1221,male_sad
1389,Female_calm
606,male_calm
319,Female_happy
25,male_sad
47,male_disgust
739,male_happy
352,Female_surprised
250,male_calm
92,Female_angry
1426,Female_disgust
1047,Female_sad
1283,Female_sad
1097,male_happy
1417,Female_fearful
132,male_happy
48,male_disgust
1137,male_surprised
1334,male_happy
917,Female_happy
109,Female_disgust
609,male_calm
1428,Female_disgust
809,Female_angry
145,male_sad
1215,male_happy
1187,Female_disgust
1228,male_angry
437,Female_happy
866,male_sad
966,male_calm
346,Female_disgust
968,male_calm
541,Female_neutral
926,Female_sad
1186,Female_disgust
371,male_calm
476,Female_surprised
939,Female_fearful
482,male_neutral
746,male_sad
741,male_sad
1236,male_fearful
1378,male_surprised
1038,Female_happy
1268,Female_calm
888,male_disgust
453,Female_angry
62,Female_neutral
422,Female_neutral
93,Female_angry
1345,male_sad
462,Female_fearful
664,Female_calm
869,male_angry
994,male_angry
682,Female_sad
551,Female_calm
187,Female_calm
830,Female_disgust
529,male_disgust
469,Female_disgust
143,male_sad
977,male_happy
125,male_calm
1437,Female_surprised
397,male_fearful
676,Female_happy
28,male_angry
1339,male_happy
1275,Female_happy
497,male_happy
743,male_sad
679,Female_happy
479,Female_surprised
1085,male_calm
310,Female_calm
623,male_sad
875,male_angry
156,male_fearful
454,Female_angry
1012,male_surprised
740,male_sad
677,Female_happy
1128,male_disgust
347,Female_disgust
227,Female_disgust
790,Female_calm
708,Female_disgust
44,male_disgust
641,male_fearful
1281,Female_sad
449,Female_angry
734,male_happy
291,male_disgust
1278,Female_happy
502,male_sad
362,male_neutral
16,male_happy
706,Female_disgust
1105,male_sad
97,Female_fearful
819,Female_fearful
1161,Female_sad
891,male_disgust
123,male_neutral
1100,male_sad
1192,Female_surprised
1020,Female_neutral
226,Female_disgust
